问答对,answer,#1问句类型,#1领域类型,#1语义类型,#2问句类型,#2领域类型,#2语义类型
1998年长野冬奥会德国是本届赛会的最大赢家，总共夺得12枚金牌、9枚银牌和多少枚铜牌？,8,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会俄罗斯以9金、6银、多少铜排名第三？,3,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会美国的盐湖市在哪年主办下届冬奥会？,2002,When,Competition,Factoid,NA,NA,NA
1998年长野冬奥会日本本州岛中部的一座古老城市，地处东京西北200公里，有多少万人口？,36,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会挪威运动员戴里在本届奥运会上赢得了多少面滑雪金牌，成为第一位在冬奥会中赢得8面金牌的运动员，而他的冬奥会奖牌累计到12面？,3,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会奖牌直径多少厘米、厚度9.7毫米，金牌重256克，银牌250克，铜牌230克？,8,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会自由式滑雪、冬季两项、越野滑雪等共多少个单项的比赛？,40,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会杨扬在女子多少米比赛中，打破世界记录？,1000,Which,Competition,Factoid,NA,NA,NA
1998年长野冬奥会德国是本届赛会的最大赢家，总共夺得多少枚金牌、9枚银牌和8枚铜牌？,12,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会俄罗斯以多少金、6银、3铜排名第三？,9,How,Competition,Calculation,NA,NA,NA
长野原在哪年获得主办权，但因为二战关系，冬季奥运停办，因此无缘举办这项盛会？,1940,When,Competition,Factoid,NA,NA,NA
1998年长野冬奥会日本本州岛中部的一座古老城市，地处东京西北多少公里，有36万人口？,200,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会日本长野第十八届冬季奥林匹克运动会，共有多少个大项68个小项的比赛？,14,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会中国在长野冬奥会上获得多少枚银牌和2枚铜牌，是参赛以来取得奖牌最多的一次？,6,How,Competition,Calculation,NA,NA,NA
1998年长野冬奥会吉祥物是多少只形态怪异的猫头鹰，组委会分别给这4只吉祥物起名为寸喜、能城、家喜和都木？,4,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会新增的比赛项目有哪些？,俯式冰橇，女子有舵雪橇,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会是否是史上比赛项目最多的一次？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会获得金牌运动员的国家有多少个？,18个,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会比起上届冬奥会比赛项目多出多少项？,10项,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会的举办城市在哪？,美国盐湖城,Where,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会的参赛国家地区有多少个？,77个,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会的比赛项目有多少大项？,7大项,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会的比赛项目有多少小项？,78小项,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会的下一届是哪届？,2006年都灵冬奥会,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会的举办时间是什么时候？,2002年02月08日-2002年02月24日,When,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会的参赛运动员有多少人？,2399,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会的参赛男运动员有多少人？,1513,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会的参赛女运动员有多少人？,886,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会的上一届是哪届？,1998年长野冬奥会,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会共哪些城市？,欧美的八个城市对举办本届冬奥会表示了兴趣，最后进入申办投票的是美国的盐湖城、瑞典的俄斯特松德、加拿大的魁北克和瑞士的锡永,Where,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会奥运会最重的奖牌，金银牌各有多少克？,567克，铜牌454克,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会参与报道本届赛会的新闻记者共有多少人？,8730,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会参与报道本届赛会的文字记者多少人？,2661,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会参与报道本届赛会的广播记者多少人？,6059,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会联邦调查局特工约有多少人？,16000人,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会挪威的奥勒·埃纳尔·比约恩达伦在冬季两项的几个单项中均取得了金牌？,4个,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会首次参加冬奥会的荷兰小将约申·维特哈格初出茅庐便有出色表现，在5000米比赛中，他是第几个以破世界纪录的成绩夺得一枚金牌？,第一个,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会博物馆展览场外原有一个几英尺高的冬奥吉祥物？,四,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会闭幕式充满了美国风情，共有多少名观众和众多的电视观众收看了这一盛况？,55000,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会有一事件是否导致多名国际奥委会官员宣布辞职或被解职，最后才得以平息？,是,Which,Competition,Factoid,Whether,Competition,Opinion
2002年盐湖城冬奥会在2月8日的开幕式上谁宣布了本届冬奥会开幕？,美国总统布什,Who,Competition,Factoid,Which,Competition,Factoid
2002年盐湖城冬奥会博物馆展览场外原有一个四英尺高的冬奥吉祥物，是否已被盗走？,是,Which,Competition,Factoid,Whether,Competition,Opinion
2002年盐湖城冬奥会王春露，夺取了冠军，为中国获得了第几枚冬奥会金牌？,一,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会加拿大男子冰球队在决赛中以多少比分击败美国队？,5:02,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会奥运会历史上获得高山滑雪奖牌最多的运动员，他在夺得全能金牌三天后，又在超级大回转项目中称雄，使其在参加过的历届冬奥会中获得了多少枚奖牌？,7枚,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会而落在后面的布拉德伯里却因祸得福，成为唯一能完成比赛的选手，终于出人意料地后来居上，获得了第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会在1500米比赛中，他再次打破了世界纪录，但这一纪录很快又被其他队员打破，他不幸只获得了第几名？,第二名,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会本届冬奥会花样滑冰双人项目的前两名都获得了哪个奖牌？,金牌,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会奥拉·比约达伦同时获得了几枚冬奥会金牌？,四枚,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会哪位运动员成为冬奥会第一位获得金牌的黑人选手？,美国女子有舵雪橇选手弗洛尔,Who,Competition,Factoid,NA,NA,NA 
2002年盐湖城冬奥会在盐湖城冬奥会上，美国获得了多少枚奖牌？,34枚奖牌,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会在盐湖城冬奥会上，美国获得的奖牌数比上一届冬奥会高出多少枚？,21枚,How,Competition,Calculation,How,Competition,Calculation
2002年盐湖城冬奥会冬奥会上，中国获得了几枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会谁表示组委会的工作极为出色，比赛场馆也令人满意，观众非常热情和友善？,国际奥委会主席罗格,Who,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会谁表示毫无疑问，冬奥会的成功超过了我们的预期？,组委会主席米特·罗尼,Who,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会布拉德伯里本人也为这块金牌感到极为庆幸，但他称是自己从事这一项目艰苦训练多少年应得的回报？,十年,How,Competition,Calculation,NA,NA,NA
为什么2002年盐湖城冬奥会安全问题成为主办者考虑的重中之重？,因为本届冬奥会是美国遭受恐怖袭击后首次举办的全球性体育盛会，,Why,Competition,Descriptive,NA,NA,NA
2002年盐湖城冬奥会的谢亚一家是否堪称奥运世家？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会的斯蒂文布拉德伯里是否堪称是本届奥运会最幸运的人之一？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会的在本届冬奥会的前多少天，花样滑冰爆出了有史以来的最大裁判丑闻，比赛临近结束时，俄罗斯代表团又指责受到北美裁判的歧视，并宣称要退出本届冬奥会？,十天,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会纽约警察代表演唱了《天佑美国》；开幕式刚一开始，多少位美国运动员和8位纽约警察和消防队员，将一面从废墟里抢救出来的美国国旗护送进会场？,8位,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会背面是希腊的胜利女神－NIKE，手持是否象征橄榄枝桂冠的一片树叶？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会奖牌形状似犹他河的卵石，同时具有现代和乡村的风格，是否象征着美国西部精神？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会奥林匹克会旗的转交仪式，谁把象征主办权的旗帜交到了2006年冬奥会的主办地，意大利都灵市的市长手中？,盐湖城的市长,Who,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会奥运会最重的奖牌，金银牌各有567克，铜牌多少克？,454,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会拳王阿里在亚特兰大点燃圣火传递的火炬，此后的2个多月的时间里，圣火将遍布美国46个州并将于什么时候抵达冬奥会举办地盐湖城？,2002年2月8日,When,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会盐湖城举行，美国仍然以各种比赛项目为图发行了一套多少枚邮票？,4,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会中国此次共派出了多少名运动员参赛？,72,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会杨扬与队友一起获得了女子3000米接力的银牌，并在女子多少米比赛中再夺金牌？,1000,Whcih,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会加拿大男子冰球队在决赛中以5-2击败美国队后，获得了多少年来的第一个奥运会男子冰球冠军？,50,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会加拿大队上一次获男子冰球冠军是哪年在斯阔谷冬奥会上？,1952,When,Competition,Factoid,NA,NA,NA
挪威的高山滑雪运动员克雷蒂尔·安德雷·阿莫特在参加过的历届冬奥会中获得的奖牌总数达到了创纪录的多少枚？,7,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会奥勒·埃纳尔·比约恩达伦在10公里计时赛和12.5公里追逐赛中又连夺几金？,2,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会冬奥会上，中国获得了多少面金牌？,2,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会这是冬奥会史上比赛项目最多的一次，同时本届奥运会的参赛的选手也创下新高，获得金牌运动员国家达到创纪录的多少个？,18,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会冬奥会多出多少项？,10,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会奥运会最重的奖牌，金银牌各有多少克，铜牌454克？,567,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会拳王阿里在亚特兰大点燃圣火传递的火炬，此后的多少个多月的时间里，圣火将遍布美国46个州并将于2002年2月8日抵达冬奥会举办地盐湖城？,2,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会运动员参加了本届盛会（其中女运动员多少名，男运动员1513名），夺取金牌的选手来自多达18个代表团，创造了历史最高纪录？,886,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会共有来自多少个国家和地区的2399名选手参加本届冬奥会78个项目，创历届冬奥会人数和比赛项目最多的纪录？,77,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会袁伟民带队的本届冬奥会中国体育代表团由多少人组成，其中运动员77人，是我国参加冬奥会人数最多的一次？,133,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会当晚外面的气温据报在零下多少℃左右，但场内观众热情高涨？,23,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会加拿大男子冰球队在决赛中以多少-2击败美国队后，获得了50年来的第一个奥运会男子冰球冠军？,5,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会加拿大队上一次获男子冰球冠军是哪年在斯阔谷冬奥会上？,1952,When,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会在多少公里比赛中，他摆脱了射击两次脱靶后的不利局面，首先夺得一金？,20,Which,Competition,Factoid,Who,Competition,Factoid
2002年盐湖城冬奥会首次参加冬奥会的荷兰小将约申维特哈格初出茅庐便有出色表现，在多少米比赛中，他首先以破世界纪录的成绩夺得一枚金牌？,5000,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会维蒂夺得哪项比赛的金牌的当天，她的姨妈夫妇喜迎金婚纪念日？,速滑1000米,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会在盐湖城穿越街道的行人可以使用红色旗帜提醒过往车辆，但有关人士嘲讽说哪个颜色旗的效果可能更好？,白,Which,Competition,Factoid,NA,NA,NA
2002年盐湖城冬奥会夺得1500米女子越野滑雪金牌俄罗斯选手切帕洛娃喜欢编织吗？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会30岁以下的人如果想在冰舞赛场的零售店买酒，可能要出示身份证？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会女子1.5公里越野滑雪金牌得主切帕洛娃的母亲是俄罗斯代表团的厨师？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会速滑金牌得主、美国选手帕拉在一家大型五金连锁店工作？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会参加高山滑雪比赛的选手中包括一家三口吗？,是,Whether,Competition,Opinion,NA,NA,NA
2002年盐湖城冬奥会本届冬奥会的多少名选手都加入了这一盛典，一部分运动员列队进入莱斯-埃克塞斯运动场游行，一部分在看台上为表演欢呼助威？,2500,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会多少个月前接受肝脏移植手术的克里斯-克拉格在滑雪比赛中赢得铜牌？,19,How,Competition,Calculation,NA,NA,NA
2002年盐湖城冬奥会闭幕式结束的时候，美国人又让全世界吃了一惊，他们奉献了一出美国历史上最为盛大的焰火表演，场面极为壮美奢华，持续多少分钟的烟火照亮了犹他州的皑皑雪山？,4,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会的举办地是在哪？,意大利都灵,Where,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会的参赛国和地区有多少个？,80个,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会有多少个大项？,7个大项,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会有多少个分项？,15个分项,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会有多少个小项？,84个小项,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会的上一届是哪届冬奥会？,2002年盐湖城冬奥会,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会的比赛时间是什么时候？,2006年2月10日-2006年2月26日,When,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会的参赛运动员有多少人？,2508名,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会的参赛男运动员有多少人？,1548,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会的参赛女运动员有多少人？,960,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会的主体育场在哪？,都灵奥林匹克体育场,Where,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会的下一届是哪届？,2010年温哥华冬奥会,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会本届冬奥会中国哪两位运动员同时闯进决赛？,韩晓鹏、邱森,Who,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会本届冬奥会中国哪位运动员在资格赛和决赛中位居首位？,韩晓鹏,Who,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会王蒙收获了1枚金牌，但比较都灵与盐湖城两届冬奥会均参加的17个冰上项目，除1项名次持平外，中国本届却有多少项的成绩优于上届？,10项,Which,Competition,Factoid,How,Competition,Calculation
2006年都灵冬奥会中国在哪个项目未能实现染指金牌的目标？,速滑项目,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会短道速滑历来是中国夺金的重点，这次的金牌、奖牌数均未能超越上届冬奥会，8个参赛项目中有几项较上届名次下降？,5项,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会短道速滑历来是中国夺金的重点这届仅哪两项的成绩优于上届？,男子1000米，女子1500米,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会中国是否还有一些年轻选手在都灵经受了锻炼，显示出喜人的发展前景？,是,Whether,Competition,Opinion,NA,NA,NA
2006年都灵冬奥会中国开展速滑项目时间很短，有多少人获得冬奥会入场券？,两人,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会随着时间的推移，该项目是否完全有可能成为中国在冬奥会上一个新的夺金点？,是,Whether,Competition,Opinion,NA,NA,NA
2006年都灵冬奥会阿玛尼，还包括了谁？,新任罗马教皇本笃十六世,Who,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会郭心心分别获得了第几名？,第2、4、6名，显示出强大的整体优势,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会运动员首次获得了哪个项目的奖牌？,500米速滑奖牌,Who,Competition,Factoid,Which,Competition,Factoid
2006年都灵冬奥会遗憾得是她最终惜败于瑞士29岁的鲁厄，获得了几枚银牌？,一枚银牌,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会1936年奥运会开始在希腊采集火种以来，是第几次受阴雨所累而使用备份火种？,四,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会火炬高多少厘米？,77厘米,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会火炬直径多少厘米？,直径10.5厘米,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会火炬重多少公斤？,重1.85公斤,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会为了突出此次冬奥会的几个中心口号，制作奖牌使用了有光泽并且光滑的材料？,三个,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会国际奥林匹克委员会第多少次会议上决定冬奥会主办权由都灵取得？,109次,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会主办权都灵由多少票击败了瑞士而取得？,53比36,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会在都灵，中国多少名运动员参加了冰上项目？,15名,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会在都灵，中国参加了多少个冰上项目的比赛？,11个,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会在都灵中国上届和本届共同参加的几个项目相比较，本届各项的成绩都有不同程度提高？,7个,How,Competition,Calculation,Which,Competition,Factoid
2006年都灵冬奥会自由式滑雪空中技巧的郭心心，资格赛排名第几名？,第二名,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会自由式滑雪空中技巧的郭心心决赛第一跳位居第几？,第一,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会国际奥委会就位于瑞士，但最终都灵凭借多少票的优势胜出？,17,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会经过隆重的仪式，谁用圣火点燃了菲利普迪斯手中的火炬？,夏尔库,Who,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会经过隆重的仪式，夏尔库用圣火点燃了菲利普迪斯手中的火炬，哪年冬奥会火炬接力就此开始？,2006,When,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会圣火通过火炬顶部的13个孔冒出，被精准地控制在多少厘米的高度以下？,10,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会圣火点燃后要在希腊境内进行历时多少天？,10天,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会圣火传递全程共多少公里的接力？,2006公里,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会圣火直到12月7日空运至哪里？,罗马,Where,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会圣火从罗马传至南部的西西里岛，辗转返回北部，全长达到多少公里？,11300,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会冬奥会项目中不可缺少的两种元素多少雪和冰？,2014,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会冬奥会的比赛将同时在都灵、巴多内几亚、塞斯特里埃莱、切萨纳、皮内罗洛等多少个市镇的场馆进行？,7,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会2006年都灵冬奥会包括15个大项，多少个小项？,84,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会2金4银5铜尽管都灵冬奥会中国金牌与上届持平，多少枚奖牌却已经创造了历史？,11,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会盐湖城举行的第19届冬奥会，当时也只是收获了多少枚奖牌？,8,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会男子空中技巧，中国以往的最好成绩只是第多少名？,17,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会冬季两项、越野滑雪和自由式滑雪共三个雪上项目的多少个小项的争夺？,17,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会单板滑雪赛场，涉足的雪上大项首次增加到六个；小项则猛增至多少个？,27,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会本届都灵盛会与上届盐湖城冬奥会均参加的单项共多少个？,15,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会其中冬季两项可比较的有7个单项，多少项成绩好于上届？,4,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会都灵冬奥会，中国共派出34名选手参加了冰上项目3个大项、多少个小项的争夺？,22,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会王蒙收获了1枚金牌，但比较都灵与盐湖城两届冬奥会均参加的17个冰上项目，除1项名次持平外，中国本届却有多少项的成绩优于上届？,10,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会叶乔波曾夺得女子速滑多少米银牌？,500,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会中国运动员首次获得多少米速滑奖牌？,500,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会男子速滑，中国表现最好的还是哪个项目？,500米速滑,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会短道速滑历来是中国夺金的重点，这次的金牌、奖牌数均未能超越上届冬奥会，8个参赛项目有5项较上届名次下降，仅男子1000米、女子多少米的成绩优于上届？,1500,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会王蒙虽然是首次参加冬奥会，却已久经沙场，近两年在哪个比赛项目几乎战无不胜？,女子短道速滑500米,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会张丹、张昊是第二次参加冬奥会，年龄分别不过20、多少岁？,21,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会冬运会曾获哪个项目比赛冠军？,1000米速滑,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会单板滑雪是一个年轻的项目，哪年才进入冬奥会？,1998,When,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会本届冬奥会是继哪年科蒂纳丹佩佐冬奥会后意大利第二次举办冬奥会？,1956,When,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会国际奥委会就位于瑞士，但最终都灵凭借多少票的优势胜出？,17,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会圣火通过火炬顶部的多少个孔冒出，被精准地控制在10厘米的高度以下？,13,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会圣火点燃后要在希腊境内进行历时多少天、全程2006公里的接力，直到12月7日空运至罗马？,10,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会圣火从罗马传至南部的西西里岛，辗转返回北部，几月10日抵达冬奥会主办城市都灵？,2,When,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会几月6日，1992年冬奥会之城法国阿尔贝维尔也将再次看到圣火之光？,2,When,Competition,Factoid,NA,NA,NA
第多少届都灵冬奥会开幕式于2006年2月10日在都灵奥林匹克体育场举办？,20,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会为了迎接冬奥会的举行都灵奥林匹克体育场重新增加了顶棚，并由两层坐席向上扩建了一层，使得体育场的坐席数由原来的25000个增加到多少个？,35000个,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会的比赛将同时在都灵、巴多内几亚、塞斯特里埃莱、切萨纳、皮内罗洛等多少个市镇的场馆进行？,7,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会哪年都灵冬奥会包括15个大项，84个小项？,2006,When,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会盐湖城举行的哪届冬奥会，当时也只是收获了8枚奖牌？,19,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会郭心心分别获得第几、4、6名，显示出强大的整体优势？,2,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会男子空中技巧，中国以往的最好成绩只是第多少名？,17,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会冬季两项、越野滑雪和自由式滑雪共三个雪上项目的多少个小项的争夺？,17,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会单板滑雪赛场，涉足的雪上大项首次增加到六个；小项则猛增至多少个？,27,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会都灵冬奥会多少个单项中，雪上项目占三分之二？,84,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会本届都灵盛会与上届盐湖城冬奥会均参加的单项共多少个？,15,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会其中冬季两项可比较的有多少个单项，4项成绩好于上届？,7,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会这次，多少岁的张成烨位居第18？,23,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会女子多少.5公里集体出发是本届冬季两项新设立的单项，刘显英位居第7，前六名皆为欧洲选手？,12,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会刘显英在女子多少公里、20公里个人项目比赛中，分别位居第18、21位，均创中国历史最佳水平？,10,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会都灵冬奥会，中国共派出多少名选手参加了冰上项目3个大项、22个小项的争夺？,34,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会王蒙收获了多少枚金牌，但比较都灵与盐湖城两届冬奥会均参加的17个冰上项目，除1项名次持平外，中国本届却有10项的成绩优于上届？,1,How,Competition,Calculation,Which,Competition,Factoid
2006年都灵冬奥会中国多少名冰上健儿参加了11个项目比赛，以上届和本届共同参加的全部7个项目相比较，本届各项的成绩都有不同程度提高？,15,How,Competition,Calculation,Which,Competition,Factoid
2006年都灵冬奥会叶乔波曾夺得哪个项目银牌？,女子速滑500米,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会哪个比赛项目改为以两次滑行的总成绩排定名次？,500米速滑,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会中国运动员首次获得哪个比赛项目奖牌？,500米速滑,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会男子速滑，中国表现最好的还是哪个比赛项目？,500米男子速滑,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会刘洪波所获该项第多少名之后，中国男子速滑的最好表现？,4,Which,Competition,Factoid,NA,NA,NA
2006年都灵冬奥会短道速滑历来是中国夺金的重点，多少个参赛项目有5项较上届名次下降，仅男子1000米、女子1500米的成绩优于上届？,8,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会中国金牌得主王蒙、韩晓鹏的年龄却分别只有多少岁和22岁，称得上大器早成？,20,How,Competition,Calculation,NA,NA,NA
2006年都灵冬奥会本届冬奥会又独得多少米冠军、1000米亚军、1500米季军，是中国军团获三枚奖牌的唯一一人？,500,Which,Competition,Factoid,NA,NA,NA
